//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_english
{
	*MENU_CONTENTLOADFAILED		"Unable to load '§p0'."
	*SB_STL05_30			"High Wizard Zale himself stepped in."
	*SB_STL05_31			"Had there not been enough fighting?"
	*SB_STL05_32			"They had both broken the Pact of Gi'Furo to help their kinsmen."
	*SB_STL05_33			"Wearily, he urged them to come to peace."
	*SB_STL05_34			"But Alecto refused. Breaking the pact would no longer be tolerated!"
	*SB_STL05_35			"He declared that he would conquer the Outlands"
	*SB_STL05_36			"and try to restore the magic to them."
	*SB_STL05_37			"And the people of Celenheim would learn "
	*SB_STL05_38			"their place as infidels for their past sins."
	*SB_STL05_39			"Would the people of Meckelon succeed"
	*SB_STL05_40			"in conquering the remaining Dreg'atar,"
	*SB_STL05_41			"and restore magic and peace to the soil,"
	*SB_STL05_42			"or would they become like the enemy that had just been defeated?"
	*SB_STL05_43			"Only time would tell."
	*SB_STL05_44			"But that is another story, to be told another time."

	*SB_STD01_0			"Scripted within an ancient tome, which lies hidden beneath centuries of dust"
	*SB_STD01_1			"in the guarded library of Meckelon,"
	*SB_STD01_2			"is the story of how the Rift was formed."
	*SB_STD01_3			"Though most cannot recall a time when the Rift did not divide"
	*SB_STD01_4			"the enclave from the outlands,"
	*SB_STD01_5			"they were at one time, unified."
	*SB_STD01_6			"In that time, there were lands which were believed"
	*SB_STD01_7			"to bear the very essence of magic,"
	*SB_STD01_8			"for they were lush and prosperous."
	*SB_STD01_9			"All who did not hold the secrets of the soil, which were protected"
	*SB_STD01_10			"by the Pact of Gi'Furo, coveted these lands fiercely."
	*SB_STD01_11			"The great demon Vatar knew that with this magic, he would be invincible."
	*SB_STD01_12			"He would at last prevail over all! "
	*SB_STD01_13			"Venomously he led his army to attack the dwellers of the land"
	*SB_STD01_14			"to claim it as his own."
	*SB_STD01_15			"The battle raged and the people fell before Vatar's vast army."
	*SB_STD01_16			"Victory was so close it could be tasted upon their blackened tongues,"
	*SB_STD01_17			"as bodies of the defenders lay sprawled about them on the bloodied field. "
	*SB_STD01_18			"Exultantly, Vatar rose to proclaim his triumph!"
	*SB_STD01_19			"It was then that disaster struck, in the form of a pathetic little wizard"
	*SB_STD01_20			"called the Mighty Zale"
	*SB_STD01_21			"With a roar of anger and anguish,"
	*SB_STD01_22			"the wizard slammed his staff into the ground."
	*SB_STD01_23			"The world trembled and then cracked, parting beneath Vatar's feet."
	*SB_STD01_24			"With an outraged scream, the demon lord plummeted to the depths"
	*SB_STD01_25			"to be consumed by the earth he sought to rule"
	*SB_STD01_26			"A chasm grew from this powerful blast of magic,"
	*SB_STD01_27			"wide and longer than any could measure. "
	*SB_STD01_28			"It was too vast to be traversed,"
	*SB_STD01_29			"thus separating the people who fought against Vatar forever. "
	*SB_STD01_30			"The devastation on the faces of the defenders  was a small consolation"
	*SB_STD01_31			"to the Dreg'atar as they retreated to pray for Vatar's return."
	*SB_STD01_32			"It is said that time heals wounds and perhaps it is true,"
	*SB_STD01_33			"for in the centuries since it was torn asunder,"
	*SB_STD01_34			"it appears that magic began to knit the land back together."
	*SB_STD01_35			"The Rift has grown smaller and can even be crossed in certain locations."
	*SB_STD01_36			"Dreg'atar, driven by an ages old lust "
	*SB_STD01_37			"for the land that should belong to them,"
	*SB_STD01_38			"are now raising their hordes, building siege weapons,"
	*SB_STD01_39			"and preparing for the day when they may take their revenge"
	*SB_STD01_40			"and possession of the magic lands. "
	*SB_STD01_41			"On the other side of the Rift, "
	*SB_STD01_42			"the people of Celenheim are strengthening their defenses. "
	*SB_STD01_43			"They know another war will soon be waged against them."
	*SB_STD01_44			"While the armies are being gathered along the border of the Rift,"
	*SB_STD01_45			"the Head Counselor of Ark Moor, Mordessa,"
	*SB_STD01_46			"is making further preparations. "
	*SB_STD01_47			"Volunteers are being brought to her for special tasks,"
	*SB_STD01_48			"and there are rumors about an ancient force about to be awakened,"
	*SB_STD01_49			"one that has been slumbering for hundreds of years. "
	*SB_STD01_50			"And it is here that our story begins."
	*SB_STD01_51			"Violently shaken from their sleep,"
	*SB_STD01_52			"the chosen are taken by hooded figures to an unknown fate."

	*SB_STD02_0			"Ah yes. Perhaps these few would prove themselves"
	*SB_STD02_1			"to be an asset to the High Counselor."
	*SB_STD02_2			"The ambitious adventurers might serve her well,"
	*SB_STD02_3			"as long as their leash was held firmly, of course."
	*SB_STD02_4			"As reward for their achievements,"
	*SB_STD02_5			"a far more difficult and important task would be placed before them."
	*SB_STD02_6			"The information Mordessa would allow them would be limited,"
	*SB_STD02_7			"for they need  to do what they are told."
	*SB_STD02_8			"Stepping through the dark portal into her chambers was rarely"
	*SB_STD02_9			"enlightening, yet they would learn more than they had expected."

	*SB_STD03_0			"The massive form of Vatar dwarfed anything else "
	*SB_STD03_1			"they had ever encountered."
	*SB_STD03_2			"His presence was terrifying,"
	*SB_STD03_3			"for he was essence of power and evil incarnate."
	*SB_STD03_4			"Princess Jasindra screamed and squirmed with all her might,"
	*SB_STD03_5			"but there was no one left to save her from her fate."
	*SB_STD03_6			"She was devoured, and thus, Vatar was bound to Mordessa, his servant"
	*SB_STD03_7			"There was no doubt that he would seize upon her first mistake,"
	*SB_STD03_8			"break the bond and claim the world as his own."
	*SB_STD03_9			"But now, he was to command Mordessa's armies,"
	*SB_STD03_10			"cross the rift and crush the people of Celenheim once and for all."
	*SB_STD03_11			"There would be no one to stop him this time. "
	*SB_STD03_12			"The servant adventurers were given yet another task of importance,"
	*SB_STD03_13			"to assist in destroying as many strongholds "
	*SB_STD03_14			"of the Enclave along the rift as possible,"
	*SB_STD03_15			"in preparation for the glorious invasion!"
	*SB_STD03_16			"As they set out to do their bidding, "
	*SB_STD03_17			"Mordessa studied the retreating forms."
	*SB_STD03_18			"They had served her well. But now, since she had Vatar,"
	*SB_STD03_19			"they were expendable. "
	*SB_STD03_20			"Vatar's twisted form watched them as well,"
	*SB_STD03_21			"but for completely different reasons,"
	*SB_STD03_22			"hidden well beneath his visage of death and terror."

	*SB_STD04_0			"What is more glorious than serving the great demon Vatar himself?"
	*SB_STD04_1			"Not even the Mistress Mordessa could rival the offered power"
	*SB_STD04_2			"and prestige that would come from being"
	*SB_STD04_3			"chosen personally by His Eminence!"
	*SB_STD04_4			"Their rewards would be immeasurable"
	*SB_STD04_5			"if they helped free him from her trap."
	*SB_STD04_6			"And the punishment if they did not,"
	*SB_STD04_7			"would surely make death pale in comparison."
	*SB_STD04_8			"Demonstrating his immense power,"
	*SB_STD04_9			"Vatar effortlessly summoned a portal,"
	*SB_STD04_10			"which would take them to Ur-Annon Island, Mordessa's personal lair."
	*SB_STD04_11			"Icy winds howled from the ocean, and whistled over the small island, "
	*SB_STD04_12			"barren and lifeless."
	*SB_STD04_13			"The only evidence of inhabitance was the crude structure"
	*SB_STD04_14			"perched threateningly upon the hilltop"
	*SB_STD04_15			"Here, they would forsake their mistress for a new master."
	*SB_STD04_16			"Death, and worse, lurked ominously within every surrounding shadow."

	*SB_STD05_0			"At last the wretched little Queen and her bothersome assembly"
	*SB_STD05_1			"fell to their destined defeat!"
	*SB_STD05_2			"And Vatar watched as a stunned silence fell over Celenheim, "
	*SB_STD05_3			"for all could feel the loss of their beloved leader."
	*SB_STD05_4			"She who wielded the magic that nourished Celenheim was dead."
	*SB_STD05_5			"Her only heir was dead. Their fate was sealed."
	*SB_STD05_6			"With renewed vigour born of desperate men with nothing left to lose,"
	*SB_STD05_7			"the defenders continued their fight against the invading army,"
	*SB_STD05_8			"but to no avail. The hordes of Dreg'atar engulfed and devoured them."
	*SB_STD05_9			"Most were put to gruesome, painful deaths. "
	*SB_STD05_10			"No honour was spared, no kindness shown. "
	*SB_STD05_11			"The insignificant beasts who used to be known as"
	*SB_STD05_12			"Celenheim's proud and valiant guardians were now"
	*SB_STD05_13			"led through the streets in shackles, chained as slaves."
	*SB_STD05_14			"With great satisfaction, Vatar stood upon the mountaintop,"
	*SB_STD05_15			"watching the prisoners being herded away like dogs."
	*SB_STD05_16			"Yet, a sense of unease was beginning to creep over him."
	*SB_STD05_17			"Turning, the Mighty Demon looked down to see a mass of red and gold,"
	*SB_STD05_18			"advancing toward the trampled battlefield."
	*SB_STD05_19			"They were obviously intent on attacking, probably expecting"
	*SB_STD05_20			"that his troops were already weary from the war they had just won."
	*SB_STD05_21			"But such blatant arrogance from these mortals,"
	*SB_STD05_22			"who thought themselves greater than he, could not be tolerated!"
	*SB_STD05_23			"Angrily he rose to call his army once more to war. "
	*SB_STD05_24			"But that is another story, to be told another time."
}
