//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_german
{
		*MENU_CONTENTLOADFAILED		"'§p0' laden nicht möglich."
	*SURFACETYPE_34				"? (Kette)"
	*SURFACETYPE_40				"Körper (Platte)"
	*SURFACETYPE_41				"Arme (Platte)"
	*SURFACETYPE_42				"Beine (Platte)"
	*SURFACETYPE_43				"Kopf (Platte)"
	*SURFACETYPE_44				"? (Platte)"
	*SURFACETYPE_70				"Dolch"
	*SURFACETYPE_71				"Schwert"
	*SURFACETYPE_72				"Axt"
	*SURFACETYPE_73				"Hammer"
	*SURFACETYPE_74				"Bogen"
	*SURFACETYPE_75				"Armbrust"
	*SURFACETYPE_76				"Stab"
	*SURFACETYPE_77				"Bombe"
	*SURFACETYPE_78				"Heiltrank"
	*SURFACETYPE_80				"Holzschild"
	*SURFACETYPE_90				"Metallschild"
	*SURFACETYPE_100			"?"

	// Targets
	// "TARGET_" + "challenge name" + "_" + unique id
	*TARGET_L_M2_1			"Massive Tür"
	*TARGET_L_M2_2			"Morsche Tür"
	*TARGET_L_M5_1			"Mauer"
	*TARGET_L_M5_2			"Mülleimer"
	*TARGET_L_M6_1			"Wachturm"
	*TARGET_L_M6_2			"Steinfalle"
	*TARGET_L_VATAR_1		"Vatars Herz"
	*TARGET_L_VATAR_2		"Magisches Schild"
	*TARGET_L_VATAR_3		"Energiefeld"

	*TARGET_D_Iellon_1		"Nordturm"
	*TARGET_D_Iellon_2		"Südturm"
	*TARGET_D_Iellon_3		"Maschine"
	*TARGET_D_Iellon_4		"Zugbrücke"
	*TARGET_D_Iellon_5		"Magische Barriere"
	*TARGET_D_Iellon_6		"Ostflügel"
	*TARGET_D_Iellon_7		"Westflügel"
	*TARGET_D_Iellon_8		"Ostturm"
	*TARGET_D_Iellon_9		"Westturm"

	// Checkpoint
	*CHECKPOINT_MSG			"§p0 Goldstücke abgezogen."
	*CHECKPOINT_MSG2		"Checkpoint aktiviert."
	*CHECKPOINT_MSG3		"Nicht genug Gold, um den Checkpoint zu aktivieren."

	// Storybook

	*SB_STL01_0			"Niedergeschrieben in einem alten Buch, das verschlossen in der"
	*SB_STL01_1			"bewachten Bibliothek von Meckelon unter dem Staub von Jahrhunderten"
	*SB_STL01_2			"begraben liegt, findet sich die Geschichte über die Entstehung der Kluft."
	*SB_STL01_3			"Selbst wenn es für die Meisten nicht vorstellbar ist, dass es jemals"
	*SB_STL01_4			"eine Zeit gab, in der die Kluft noch nicht die Enklave und die Outlands"
	*SB_STL01_5			"voneinander trennte, so waren sie doch einst vereint."
	*SB_STL01_6			"In jener Zeit existierten Länder, in denen wahrhaftige Magie vermutet"
	*SB_STL01_7			"wurde, waren sie doch gesegnet mit Fruchtbarkeit und Überfluss."
	*SB_STL01_8			"All jene, denen die Segnungen dieser Erde nicht zu eigen waren,"
	*SB_STL01_9			"die durch den Pakt von Gi'Furo geschützt wurden,"
	*SB_STL01_10			"gierten nach diesen Ländern."
	*SB_STL01_11			"Der Mächtige Dämon Vatar gehörte zu diesen neidischen Kreaturen,"
	*SB_STL01_12			"denn er glaubte unumstösslich daran, dass ihm die Magie der Länder"
	*SB_STL01_13			"dazu verhelfen könnte, unbesiegbar zu werden. Und so führte er"
	*SB_STL01_14			"sein Heer der Verdammnis in den Krieg gegen die Bewohner dieser Länder,"
	*SB_STL01_15			"um sie an sich zu reissen."
	*SB_STL01_16			"Eine unerbittliche Schlacht entbrannte und schien kein Ende zu nehmen,"
	*SB_STL01_17			"bis letztendlich der Mächtige Zauberer Zale sich Vatar entgegenstellte,"
	*SB_STL01_18			"um das Land zu beschützen. Als jegliche Hoffnung verloren schien"
	*SB_STL01_19			"und Vatars endgültiger Sieg offensichtlich bevorstand, entschied sich Zale"
	*SB_STL01_20			"zum Äussersten. Voller Zorn und Schmerz "
	*SB_STL01_21			"rammte der Zauberer seinen Stab tief in die Erde. "
	*SB_STL01_22			"Die Welt erzitterte und spaltete sich unter Vatars Füssen. "
	*SB_STL01_23			"Ein Aufschrei des Entsetzens entfloh der Kehle des Dämonen, als er merkte, "
	*SB_STL01_24			"dass er um den Sieg gebracht worden war. Jedoch war der Triumph über Vatar mit"
	*SB_STL01_25			"einem hohen Preis erkauft worden. Die Kluft, die durch Zales mächtigen Schlag"
	*SB_STL01_26			"entstand, war zu gross, um überbrückt zu werden, und teilte das Land, wie auch"
	*SB_STL01_27			"seine Bewohner. Jene, die gekommen waren, um ihren Brüdern im Kampf gegen die"
	*SB_STL01_28			"Armee der Dämonen beizustehen, kehrten in ihre Heimat Meckelon zurück,"
	*SB_STL01_29			"fassungslos und schweren Herzens. Der Pakt von Gi'Furo war gebrochen,"
	*SB_STL01_30			"und sie waren von ihren Brüdern getrennt worden. "
	*SB_STL01_31			"Die Bewohner der Outlands, ein finsteres und selbstsüchtiges Volk,"
	*SB_STL01_32			"wurden als die Dreg'atar bekannt."
	*SB_STL01_33			"Und die Enklave des von Magie erfüllten Landes, "
	*SB_STL01_34			"die von der restlichen Welt abgespalten worden war, entwickelte sich zu einer "
	*SB_STL01_35			"friedvollen Stadt namens Celenheim. "
	*SB_STL01_36			"Es heisst die Zeit heilt alle Wunden, "
	*SB_STL01_37			"und seit das Land auseinandergerissen wurde, schien es, "
	*SB_STL01_38			"als würde die Magie, die die Welt umfliesst,"
	*SB_STL01_39			"diese wieder zusammenführen."
	*SB_STL01_40			"Die Kluft wurde schmaler  und konnte bereits an einigen "
	*SB_STL01_41			"Stellen überwunden werden. Es hätte eine Zeit des Glücks und der "
	*SB_STL01_42			"Freude sein sollen, doch sie war es nicht. Denn immer noch trachteten "
	*SB_STL01_43			"die gierigen Dreg'atar nach diesem magischen Land. Ein Raubzug nach dem "
	*SB_STL01_44			"anderen wurde gegen die Enklave geführt, mit der Absicht sie zu schwächen und "
	*SB_STL01_45			"den Hauptstoss so bald wie möglich durchzuführen. Brandschatzungen und Plünderungen "
	*SB_STL01_46			"hatten Celenheim in einen Zustand extremer Unruhe versetzt. Hohe Steuern wurden "
	*SB_STL01_47			"den Einwohnern aufgebürdet, um die Verteidigung der Stadt zu sichern. "
	*SB_STL01_48			"Das wiederum führte zu Aufruhr und zu vereinzelten "
	*SB_STL01_49			"Aufständen innerhalb der Enklave."
	*SB_STL01_50			"Einige Aufständische landeten sogar im Gefängnis - zusammen mit dem wahren Feind. "
	*SB_STL01_51			"Und hier beginnt unsere Geschichte. Mit ein paar rebellischen Sandkörnern"
	*SB_STL01_52			"in der ewigen Sanduhr des Lebens..."

	*SB_STL02_0			"Sie hatten die Schlacht gegen die Räuber aus den Outlands"
	*SB_STL02_1			"für sich entschieden, und diese aus Celenheim vertrieben!"
	*SB_STL02_2			"Der Geruch von Sieg umspielte sie, als sie sich auf die gefährliche"
	*SB_STL02_3			"Reise begaben. Dies war ihre Chance, sich freizukaufen und ihrem Volk"
	*SB_STL02_4			"zu helfen. Aber vieles war ihnen unbekannt, viele Fragen unbeantwortet."
	*SB_STL02_5			"Wer waren diese Ahnen, von denen Marcus ihnen berichtet hatte?"
	*SB_STL02_6			"Weshalb hatte Königin Aylindel nicht bereits früher nach ihnen geschickt?"
	*SB_STL02_7			"Ohne sich mit der Königin beraten zu haben, brachen sie auf."
	*SB_STL02_8			"Vor ihnen lagen die Weiten der unerbittlichen Outlands,"
	*SB_STL02_9			"und die Mission, dieses geheimnisvolle Volk zu finden."
	*SB_STL02_10			"Jedoch schien sich noch nicht einmal Marcus über die"
	*SB_STL02_11			"blosse Existenz der ahnen sicher. Falls sie doch überdauert haben sollten,"
	*SB_STL02_12			"auf welche Weise würden sie Besucher empfangen?"
	*SB_STL02_13			"Als die Sonne unterging, erreichten sie die Geteilte Stadt. Einst prunkvoll"
	*SB_STL02_14			"und stolz, hatte die Kluft ihr ihre Pracht genommen und nichts weiter als"
	*SB_STL02_15			"Ruinen und Trümmer hinterlassen. Jetzt, an einer der wenigen Stellen,"
	*SB_STL02_16			"an denen ein Überschreiten der Kluft noch möglich war, erwarteten finstere"
	*SB_STL02_17			"und verderbte Gestalten all jene, die sie zu passieren versuchten."

	*SB_STL03_0			"Obwohl die Ahnen sie als Helden betrachteten, nachdem sie bei der"
	*SB_STL03_1			"Abwehr der Invasion durch die Outlander solchen Mut und Tapferkeit"
	*SB_STL03_2			"gezeigt hatten, erschien doch etwas seltsam und verstörend:"
	*SB_STL03_3			"Die Ahnen hatten sich durch die lange Zeit der Trennung"
	*SB_STL03_4			"von ihren Brüdern in Celenheim entfremdet, und doch willigten sie"
	*SB_STL03_5			"nahezu umgehend ein, die erbetene gefahrvolle Hilfestellung zu leisten"
	*SB_STL03_6			"und ihnen im Kampf gegen die wilden Horden der Dreg'atar beizustehen."
	*SB_STL03_7			"Das nachdrückliche Angebot erforderte nur eine Gegenleistung:"
	*SB_STL03_8			"Die Zerstörung der Festung von Kam-Zara."
	*SB_STL03_9			"Obwohl der Pakt von Gi'Furo eine derartige Zerstörung untersagte, erklärten"
	*SB_STL03_10			"die Ahnen, dass das die einzige Hoffnung sei, die Schlacht noch rechtzeitig"
	*SB_STL03_11			"zu erreichen. Denn der Pass von Kam-Zara, der sich fest in gegnerischer"
	*SB_STL03_12			"Hand befand, stellte das einzige Hindernis auf dem schnellsten Weg nach"
	*SB_STL03_13			"Celenheim dar. Da der Pass nur aus einem schmalen Pfad bestand, war es ein"
	*SB_STL03_14			"Leichtes, ihn zu verteidigt. Bereits eine Handvoll Männer hätten genügt, um ein"
	*SB_STL03_15			"ganzes Heer aufzuhalten und es wäre unmöglich rechtzeitig in Celenheim anzukommen."
	*SB_STL03_16			"Es war eine Zeit der Verzweiflung, die verzweifelte Taten erforderte."
	*SB_STL03_17			"Der sagenumwobene Hohe Zauberer Zale war ihre letzte Hoffnung."
	*SB_STL03_18			"Bekannt als die Vatars Geissel und Zuranas Verderben, als der Mann,"
	*SB_STL03_19			"der die Welt gespalten hatte, war er es, der gefunden werden musste."
	*SB_STL03_20			"Doch selbst wenn er immer noch lebte, und sie ihn finden könnten,"
	*SB_STL03_21			"würde er bereit sein, ihnen zu helfen? Und welchen Preis müsste die Welt"
	*SB_STL03_22			"dieses Mal für die Rettung bezahlen?"

	*SB_STL04_0			"Der Rauch stieg hoch in den Himmel hinauf und befleckte die Sonne"
	*SB_STL04_1			"mit seiner schwarzen Botschaft."
	*SB_STL04_2			"Die Festung von Kam-Zara war nicht mehr."
	*SB_STL04_3			"Dieses Signal war meilenweit zu sehen und versetzte sowohl die Ahnen"
	*SB_STL04_4			"als auch die Outlander in Aufruhr."
	*SB_STL04_5			"Entschlossen machten sie sich auf den Weg nach Celenheim."
	*SB_STL04_6			"Die Spannung war gross, denn sie hatten erneut"
	*SB_STL04_7			"Beistand geleistet, beim Bruch des Paktes von Gi'Furo."
	*SB_STL04_8			"Und sie hatten keine Gelegenheit gehabt, mit der Königin zu sprechen,"
	*SB_STL04_9			"bevor sie zu dieser Reise aufbrachen. "
	*SB_STL04_10			"Würden sie als Helden empfangen werden?"
	*SB_STL04_11			"Oder würden ihre schrecklichen Taten sie an den Galgen bringen?"
	*SB_STL04_12			"Die Gerüchte um Mordessas riesige Heere erwiesen sich als wahr."
	*SB_STL04_13			"Tag und Nacht mussten sich die Reisenden immer wieder in Felsspalten"
	*SB_STL04_14			"verbergen, während endlose Reihen albtraumhafter Kreaturen"
	*SB_STL04_15			"an ihnen vorbeizog. Die furchterregenden Bestien und Dämonen"
	*SB_STL04_16			"waren ein eindeutiges Zeichen, dass die Mächte der Hölle"
	*SB_STL04_17			"sich zum Kampf sammelten..."
	*SB_STL04_18			"Immer wieder war es der Name des mächtigen Dämonen Vatar, der ehrfürchtig"
	*SB_STL04_19			"unter ihnen genannt wurde. Die Reisenden wussten, dass nur noch wenig Zeit blieb."
	*SB_STL04_20			"Und endlich war Burg Celenheim in Sicht!"
	*SB_STL04_21			"Doch schon bald würden sie auf ihre bislang grösste Herausforderung stossen."

	*SB_STL05_0			"Die Schlacht hatte begonnen."
	*SB_STL05_1			"Zahlenmässig unterlegen, befanden sich die Armeen von Celenheim im Rückzug"
	*SB_STL05_2			"und bewegten sich auf die Burg selbst zu."
	*SB_STL05_3			"Vatars Horden überquerten die Kluft und machten Jagd auf sie."
	*SB_STL05_4			"Die Hoffnung schwand."
	*SB_STL05_5			"Doch dann, einem Wunder gleich, ereilte den Dämon der Tod."
	*SB_STL05_6			"Der Schrei, der von seinem Todeskampf zeugt,"
	*SB_STL05_7			"hallte von den Bergen wider und erreicht die Ohren der Bewohner"
	*SB_STL05_8			"der Enklave und Dreg'atar gleichermassen."
	*SB_STL05_9			"Die Dreg'atar erstarrten, die Augen vor Schrecken geweitet."
	*SB_STL05_10			"Es konnte nicht sein. Vatar konnte nicht besiegt werden!"
	*SB_STL05_11			"Nur wenige Augenblicke später erschienen die ersten Truppen"
	*SB_STL05_12			"aus Meckelon in einer mächtigen Wolke aus Staub und Standarten"
	*SB_STL05_13			"am Horizont. Gnadenlos und aus allen Richtungen kommend"
	*SB_STL05_14			"durchschlugen sie die verwirrten Reihen der Dreg'atar."
	*SB_STL05_15			"Mit neu gewonnener Kampfmoral riefen die Soldaten von Celenheim"
	*SB_STL05_16			"enthusiastisch ihre Treue zur Königin aus und nahmen entschlossen"
	*SB_STL05_17			"Ihre Waffen wieder auf. Ohne ihren Anführer und von allen Seiten umzingelt"
	*SB_STL05_18			"waren Vatars Horden schon bald zerschlagen und kurz darauf vernichtet."
	*SB_STL05_19			"Die Geschichte hatte sich nicht wiederholt."
	*SB_STL05_20			"Als das Chaos der Schlacht allmählich in Stille versank,"
	*SB_STL05_21			"kehrte die kleine Gruppe von Abenteurern nach Celenheim zurück,"
	*SB_STL05_22			"um schon bald als Helden gefeiert zu werden."
	*SB_STL05_23			"Während Königin Aylindel, Prinzessin Jasindra und der Rat der Sechs"
	*SB_STL05_24			"sie für ihre heldenhaften Taten auszeichneten,"
	*SB_STL05_25			"betrat Alecto von Meckelon unangekündigt und überraschend den Saal."
	*SB_STL05_26			"Kühn verkündete er seinen Anspruch als Retter der Enklave zu gelten."
	*SB_STL05_27			"Von solcher Arroganz verärgert, bekundeten die Königin und ihr Rat"
	*SB_STL05_28			"ihm ihr Missfallen gegenüber seinem Verhalten, und schon bald"
	*SB_STL05_29			"schienen sie am Rand eines neuen Krieges zu stehen."
	*SB_STL05_30			"Doch dann schritt der Hohe Zauberer Zale persönlich ein."
	*SB_STL05_31			"Hatte es nicht bereits genug Krieg gegeben? Beide Seiten hatten"
	*SB_STL05_32			"den Pakt von Gi'Furo gebrochen, um den Ihren zu helfen."
	*SB_STL05_33			"Erschöpft ermahnte er sie sich zu beruhigen."
	*SB_STL05_34			"Alecto jedoch lehnte dies ab. Ein Bruch des Paktes würde nicht"
	*SB_STL05_35			"länger hingenommen werden! Er kündigte an, die Outlands zu erobern"
	*SB_STL05_36			"und zu versuchen, die Magie dort wieder einziehen zu lassen."
	*SB_STL05_37			"Und das Volk von Celenheim sollte für die"
	*SB_STL05_38			"in der Vergangenheit begangene Sünde büssen."
	*SB_STL05_39			"Würde das Volk von Meckelon erfolgreich"
	*SB_STL05_40			"die verbliebenen Dreg'atar unterwerfen und den Outlands"
	*SB_STL05_41			"Magie und Frieden zurückbringen können?"
	*SB_STL05_42			"Oder wird es wie der Feind werden, der gerade erst besiegt worden war?"
	*SB_STL05_43			"Nur die Zeit wird es wissen."
	*SB_STL05_44			"Aber das ist eine andere Geschichte, die ein anderes Mal erzählt werden soll."

	*SB_STD01_0			"Niedergeschrieben in einem alten Buch, das verschlossen in der"
	*SB_STD01_1			"bewachten Bibliothek von Meckelon unter dem Staub von"
	*SB_STD01_2			"Jahrhunderten begraben liegt, findet sich die Geschichte über die"
	*SB_STD01_3			"Entstehung der Kluft. Selbst wenn es kaum vorstellbar ist, dass es jemals"
	*SB_STD01_4			"eine Zeit gab, in der die Kluft nicht die Enklave und die Outlands"
	*SB_STD01_5			"voneinander trennte, so waren sie doch einst vereint."
	*SB_STD01_6			"Es existierten Länder, "
	*SB_STD01_7			"in denen wahrhaftige Magie vermutet wurde,"
	*SB_STD01_8			"waren sie doch gesegnet mit Fruchtbarkeit und Überfluss. "
	*SB_STD01_9			"All jene, denen die Segnungen dieser Erde nicht zu eigen waren, die durch den "
	*SB_STD01_10			"Pakt von Gi'Furo geschützt wurden, gierten nach diesen Ländern."
	*SB_STD01_11			"Der Mächtige Dämon Vatar wusste, dass er mit dieser Magie unbesiegbar"
	*SB_STD01_12			"sein würde. Nichts und niemand würde ihn jemals aufhalten können."
	*SB_STD01_13			"Hasserfüllt führte er sein Heer gegen diese Länder und deren Einwohner."
	*SB_STD01_14			"Die Schlacht nahm ihren blutigen Lauf."
	*SB_STD01_15			"Der endgültige Sieg war greifbar,"
	*SB_STD01_16			"die finsteren Horden schmeckten ihn bereits auf ihren Zungen,"
	*SB_STD01_17			"inmitten der leblosen Leiber der gefallenen Verteidiger."
	*SB_STD01_18			"Siegesgewiss erhob sich Vatar, um seinen Triumph zu verkünden!"
	*SB_STD01_19			"Doch es sollte der Moment werden, in dem die Katastrophe über ihn hereinbrach,"
	*SB_STD01_20			"in Gestalt eines armseligen Zauberers namens Zale."
	*SB_STD01_21			"Voller Zorn und Gewalt rammte dieser Zauberer "
	*SB_STD01_22			"seinen Stab in den Grund"
	*SB_STD01_23			"und spaltete die Welt auf, direkt unter Vatars Füssen. Mit einem wütenden Aufschrei"
	*SB_STD01_24			"des Entsetzens stürzte der Dämon in die Tiefe, um von der Erde verschlungen zu werden,"
	*SB_STD01_25			"die er hatte unterwerfen und beherrschen wollen. "
	*SB_STD01_26			"Aus diesem mächtigen Schlag der Magie erwuchs eine gigantische Kluft."
	*SB_STD01_27			"Sie war zu gross, um überquert zu werden und "
	*SB_STD01_28			"trennte die Völker, die gemeinsam gegen Vatar gekämpft hatten, auf ewig."
	*SB_STD01_29			"Die Verzweiflung darüber in den Gesichtern der Verteidiger gab den Dreg'atar"
	*SB_STD01_30			"eine wenn auch kleine Genugtuung, während sie sich zurückzogen,"
	*SB_STD01_31			"um für Vatars Rückkehr zu beten."
	*SB_STD01_32			"Man behauptet, dass die Zeit alle Wunden heilt."
	*SB_STD01_33			"Vielleicht stimmt dies tatsächlich, denn in den folgenden Jahrhunderten"
	*SB_STD01_34			"schien die Magie die Welt wieder zusammenzuführen. Die Kluft wurde schmaler"
	*SB_STD01_35			"und konnte bereits an einigen Stellen überquert werden."
	*SB_STD01_36			"Die Dreg'atar, getrieben von der Jahrhunderte alten Gier"
	*SB_STD01_37			"nach dem Land, zogen ihre Horden zusammen,"
	*SB_STD01_38			"bauten Belagerungsmaschinen und rüsteten sich für den Tag,"
	*SB_STD01_39			"an dem sie ihren Rachefeldzug beginnen"
	*SB_STD01_40			"und das Land an sich reissen konnten."
	*SB_STD01_41			"Auf der anderen Seite der Kluft begann das Volk"
	*SB_STD01_42			"von Celenheim die Verteidigungsstellungen auszubauen."
	*SB_STD01_43			"Die Enklavenbewohner wussten, dass ihnen ein weiterer Krieg bevorstand."
	*SB_STD01_44			"Während die Heere entlang der Kluft zusammengezogen wurden,"
	*SB_STD01_45			"traf Mordessa als Ratsoberhaupt von Ark Moor"
	*SB_STD01_46			"weitere Vorbereitungen. Freiwillige, für besondere Aufgaben geeignet,"
	*SB_STD01_47			"wurden zu ihr gebracht, und Gerüchte traten zu Tage"
	*SB_STD01_48			"über eine alte Kraft, die heraufbeschworen werden sollte."
	*SB_STD01_49			"Eine Kraft, die seit Jahrhunderten vor sich hindämmerte."
	*SB_STD01_50			"Und genau hier beginnt unsere Geschichte."
	*SB_STD01_51			"Brutal aus ihrem Schlaf gerissen, wurden die Auserwählten von"
	*SB_STD01_52			"vermummten Gestalten in ein unbekanntes Schicksal geführt."

	*SB_STD02_0			"Oh ja, gewiss. Diese Handvoll Kämpfer könnte sich"
	*SB_STD02_1			"als für die Hohe Rätin brauchbar erweisen"
	*SB_STD02_2			"und ihr gute Dienste leisten,"
	*SB_STD02_3			"solange sie an der kurzen Leine geführt würden."
	*SB_STD02_4			"Als Belohnung für ihre vollbrachten Leistungen würde sie eine weitaus"
	*SB_STD02_5			"bedeutendere und gefährlichere Mission erwarten."
	*SB_STD02_6			"Mordessa würde ihnen nur wenige Informationen anvertrauen, denn sie sollten"
	*SB_STD02_7			"lediglich das tun, was man von ihnen verlangte."
	*SB_STD02_8			"Die Anwesenheit in Mordessas dunklen Gemächern brachte ihnen selten Erleuchtung,"
	*SB_STD02_9			"allerdings sollten sie bald mehr erfahren, als sie erwartet hatten."

	*SB_STD03_0			"Die mächtige Statur Vatars liess alles, was sie bis dahin"
	*SB_STD03_1			"gekannt hatten, zwergenhaft erscheinen."
	*SB_STD03_2			"Seine Gegenwart allein brachte bereits Schrecken mit sich,"
	*SB_STD03_3			"denn er war Gestalt gewordene Urgewalt und Boshaftigkeit."
	*SB_STD03_4			"Prinzessin Jasindra schrie und wandt sich mit all ihrer Kraft,"
	*SB_STD03_5			"doch da war niemand, der sie vor ihrem Schicksal bewahren konnte."
	*SB_STD03_6			"Sie wurde geopfert und Vatar so an seine Dienerin Mordessa gebunden."
	*SB_STD03_7			"Kein Zweifel, er würde sich bei ihrem ersten Fehler erheben,"
	*SB_STD03_8			"die Fesseln ablegen und die Herrschaft über die Welt an sich reissen."
	*SB_STD03_9			"Aber bis dahin musste er Mordessas Heere anführen,"
	*SB_STD03_10			"die Kluft überwinden und das Volk von Celenheim ein für"
	*SB_STD03_11			"allemal vernichten. Niemand sollte ihn diesmal aufhalten können."
	*SB_STD03_12			"Den Abenteurern wurde eine weitere wichtige Mission aufgetragen."
	*SB_STD03_13			"Um der glorreichen Invasion den Weg zu ebnen,"
	*SB_STD03_14			"sollten sie entlang der Kluft möglichst viele"
	*SB_STD03_15			"Festungen der Enklave zerstören."
	*SB_STD03_16			"Als sie hinauszogen, um ihren Befehlen Folge zu leisten,"
	*SB_STD03_17			"sah ihnen Mordessa nach."
	*SB_STD03_18			"Sie hatten ihr gut gedient. Doch nun, mit Vatar an ihrer Seite,"
	*SB_STD03_19			"waren sie überflüssig geworden."
	*SB_STD03_20			"Vatar beobachtete sie ebenfalls,"
	*SB_STD03_21			"doch aus völlig anderen Gründen, die hinter seiner"
	*SB_STD03_22			"verderben- und schreckenverheissenden Fratze gut verborgen lagen."

	*SB_STD04_0			"Was kann glorreicher sein, als dem mächtigen Dämon Vatar selbst zu dienen?"
	*SB_STD04_1			"Nicht einmal Meisterin Mordessa konnte den Verheissungen der Macht"
	*SB_STD04_2			"und der Tatsache von Seiner Eminenz persönlich auserwählt"
	*SB_STD04_3			"worden zu sein, etwas entgegensetzen!"
	*SB_STD04_4			"Die Belohnungen würden unschätzbar sein,"
	*SB_STD04_5			"wenn sie ihm halfen, sich aus Mordessas Umklammerung zu befreien."
	*SB_STD04_6			"Und die Bestrafung, falls sie dieses nicht täten,"
	*SB_STD04_7			"würden den Tod gnädig erscheinen lassen."
	*SB_STD04_8			"Seine unermessliche Macht offenbarend,"
	*SB_STD04_9			"beschwor Vatar ein Portal,"
	*SB_STD04_10			"das sie zur Insel Ur-Annon führen würde, Mordessas persönlicher Zuflucht."
	*SB_STD04_11			"Eisige Winde heulten über den Ozean und pfiffen über die kleine Insel,"
	*SB_STD04_12			"die karg und leblos ihr Dasein zu fristen schien."
	*SB_STD04_13			"Der einzige Hinweis auf Leben war ein Anwesen,"
	*SB_STD04_14			"das bedrohlich auf dem Hügel in den Himmel ragte."
	*SB_STD04_15			"Hier sollten sie ihre Meisterin für einen neuen Herrn eintauschen."
	*SB_STD04_16			"Hinter jedem Schatten lauerte der Tod und Schlimmeres."

	*SB_STD05_0			"Endlich ereilte die armselige Königin und ihr erbärmliches Gefolge"
	*SB_STD05_1			"ihre durch das Schicksal bestimmte Niederlage!"
	*SB_STD05_2			"Vatar beobachtete das Geschehen, während eine lähmende Stille über"
	*SB_STD05_3			"Celenheim hereinfiel, da jeder das Ende der geliebten Anführerin spüren konnte."
	*SB_STD05_4			"Sie, die die Magie, die Celenheim nährte, leitete, war tot."
	*SB_STD05_5			"Die einzige Erbin ebenfalls. Ihr Schicksal besiegelt."
	*SB_STD05_6			"Mit letzter Entschlossenheit, wie sie nur in grösster Verzweiflung entsteht,"
	*SB_STD05_7			"setzten die Verteidiger ihren Kampf gegen die durchbrechenden Heere fort."
	*SB_STD05_8			"Aber vergebens. Die Horden der Dreg'atar schnürten sie ein und verschlangen sie."
	*SB_STD05_9			"Die Meisten erlitten einen grausamen und schmerzvollen Tod."
	*SB_STD05_10			"Keine Ehre wurde gezollt, keine Gnade gewährt."
	*SB_STD05_11			"Die wenigen Überlebenden, einst als"
	*SB_STD05_12			"Celenheims stolze und tapfere Garden gefeiert,"
	*SB_STD05_13			"wurden nun in Ketten als Sklaven durch die Strassen geführt."
	*SB_STD05_14			"Mit grosser Genugtuung beobachtete Vatar von der Bergspitze aus,"
	*SB_STD05_15			"wie die Gefangenen, Hunden gleich, davon getrieben wurden."
	*SB_STD05_16			"Und dennoch spürte er, wie ein Gefühl der Unruhe Besitz von ihm ergriff."
	*SB_STD05_17			"Als er sich umdrehte, erblickte der mächtige Dämon eine Streitmacht"
	*SB_STD05_18			"in leuchtendem rot und gold, die auf das Schlachtfeld zumarschierte."
	*SB_STD05_19			"Offensichtlich stand sie kurz davor in die Schlacht einzugreifen,"
	*SB_STD05_20			"vom Gedanken getrieben, dass seine Truppen von dem Krieg,"
	*SB_STD05_21			"den sie gerade erst gewonnen hatten, ausgezehrt waren."
	*SB_STD05_22			"Eine derartige Arroganz Sterblicher konnte nicht toleriert werden!"
	*SB_STD05_23			"Voller Zorn richtete er sich auf, um sein Heer erneut in die Schlacht zu führen."
	*SB_STD05_24			"Aber das ist eine andere Geschichte, die ein anderes Mal erzählt werden soll."
}
